Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,Stock,Stock,CPI,CPIAUCSL_PC1,FEDFUNDS,Real US Short Term Interest Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 93, 378.80 , 4.71 , 379.50 ,, 379.30 , 4.73 , 380.50 ,,0.6747,0.6752, 73.20 , 73.33 , 109.03 , 109.31 , 573.75 , 7.16 , 578.61 ,, 574.95 , 7.20 , 580.59 ,," 41,262.68 ", 513.53 ," 41,338.94 ",," 41,404.39 ", 517.04 ," 41,535.38 ",, 361.40 , 4.18 , 364.00 ,, 361.90 , 4.20 , 365.00 ,, 0.6502 , 0.6507 , 69.51 , 69.61 , 105.78 , 106.02 , 536.83 , 6.20 , 541.02 ,, 537.97 , 6.24 , 542.91 ,," 39,069.81 ", 450.02 ," 39,328.75 ",," 39,221.76 ", 453.31 ," 39,535.32 ",, 373.99 , 4.54 , 374.40 ,, 374.50 , 4.56 , 375.50 ,, 0.6645 , 0.6650 , 71.61 , 71.72 , 107.68 , 107.92 , 562.46 , 6.82 , 563.06 ,, 563.65 , 6.86 , 565.14 ,," 40,268.82 ", 488.37 ," 40,311.89 ",," 40,415.42 ", 491.68 ," 40,522.76 ",, 378.15 , 378.40 , 4.73 , 379.25 , 380.25 , 130.75 , 130.50 , 0.6761 , 3.2300 , 4.7800 , 362.50 , 363.00 , 4.21 , 365.85 , 366.65 , 123.50 , 122.75 , 0.6567 , 2.9100 , 4.7100 , 373.94 , 373.83 , 4.53 , 374.62 , 374.41 , 128.45 , 127.90 , 0.6649 ,3.018,4.745," 7,372.40 "," 2,009.40 ",,2.7,3.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 93, 391.05 , 5.16 , 393.50 ,, 391.55 , 5.17 , 394.50 ,,0.6799,0.6804, 75.50 , 75.64 , 111.69 , 111.98 , 578.56 , 7.69 , 582.10 ,, 579.73 , 7.71 , 584.10 ,," 43,614.95 ", 569.65 ," 43,950.02 ",," 43,784.18 ", 573.28 ," 44,176.11 ",, 370.10 , 4.44 , 366.00 ,, 370.60 , 4.46 , 367.50 ,, 0.6580 , 0.6585 , 71.71 , 71.81 , 106.58 , 106.81 , 557.58 , 6.72 , 555.13 ,, 558.74 , 6.76 , 557.74 ,," 40,111.33 ", 483.60 ," 39,926.94 ",," 40,251.06 ", 486.81 ," 40,167.20 ",, 382.94 , 4.96 , 381.69 ,, 383.44 , 4.98 , 382.93 ,, 0.6724 , 0.6729 , 73.58 , 73.68 , 109.34 , 109.58 , 569.08 , 7.38 , 567.21 ,, 570.26 , 7.41 , 569.50 ,," 41,875.65 ", 542.84 ," 41,740.02 ",," 42,021.23 ", 546.14 ," 41,967.19 ",, 391.50 , 391.75 , 5.14 , 393.50 , 393.50 , 127.25 , 127.75 , 0.6796 , 3.1100 , 4.8200 , 370.10 , 373.10 , 4.43 , 366.75 , 366.75 , 122.00 , 121.40 , 0.6585 , 2.6700 , 4.7500 , 383.24 , 383.30 , 4.97 , 382.75 , 382.32 , 124.71 , 124.69 , 0.6725 ,2.955,4.781," 8,001.60 "," 2,173.60 ",110,2.8,2.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 94, 394.65 , 5.34 , 397.50 ,, 395.15 , 5.36 , 398.50 ,,0.7125,0.7130, 78.70 , 78.80 , 112.99 , 113.22 , 575.21 , 7.67 , 580.72 ,, 576.36 , 7.70 , 582.60 ,," 44,342.87 ", 593.65 ," 44,857.03 ",," 44,489.94 ", 597.05 ," 45,061.56 ",, 375.50 , 4.91 , 378.00 ,, 376.25 , 4.93 , 379.00 ,, 0.6840 , 0.6845 , 76.49 , 76.59 , 108.48 , 108.68 , 529.99 , 7.00 , 533.82 ,, 531.43 , 7.03 , 535.61 ,," 40,760.53 ", 538.41 ," 41,054.58 ",," 40,920.95 ", 541.62 ," 41,242.78 ",, 386.33 , 5.13 , 387.16 ,, 386.84 , 5.15 , 388.31 ,, 0.6952 , 0.6957 , 77.41 , 77.51 , 111.28 , 111.50 , 555.44 , 7.37 , 556.62 ,, 556.57 , 7.41 , 558.67 ,," 42,992.01 ", 570.66 ," 43,083.64 ",," 43,136.14 ", 573.99 ," 43,298.86 ",, 395.00 , 395.25 , 5.34 , 399.50 , 398.00 , 126.25 , 126.75 , 0.7112 , 3.9700 , 4.8200 , 378.15 , 377.90 , 4.91 , 379.25 , 378.50 , 123.25 , 123.25 , 0.6848 , 2.8500 , 4.6800 , 387.11 , 386.88 , 5.14 , 387.97 , 387.52 , 124.32 , 124.30 , 0.6948 ,3.051,4.744," 8,508.40 "," 2,310.80 ",,2.5,3.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 94, 387.50 , 5.46 , 403.75 ,, 388.00 , 5.48 , 404.75 ,,0.7290,0.7295, 78.03 , 78.13 , 109.07 , 109.29 , 543.92 , 7.65 , 565.08 ,, 545.01 , 7.68 , 566.89 ,," 42,158.73 ", 593.34 ," 43,102.01 ",," 42,299.32 ", 596.72 ," 43,298.24 ",, 376.00 , 5.13 , 383.50 ,, 376.50 , 5.15 , 384.50 ,, 0.7063 , 0.7068 , 72.40 , 72.53 , 101.76 , 102.01 , 517.20 , 7.12 , 534.27 ,, 518.24 , 7.16 , 536.01 ,," 39,126.72 ", 539.62 ," 40,246.08 ",," 39,273.85 ", 543.06 ," 40,497.97 ",, 381.88 , 5.26 , 393.67 ,, 382.43 , 5.28 , 394.73 ,, 0.7157 , 0.7162 , 76.04 , 76.14 , 106.16 , 106.39 , 533.21 , 7.35 , 549.66 ,, 534.36 , 7.38 , 551.54 ,," 40,542.77 ", 558.59 ," 41,787.13 ",," 40,687.26 ", 561.94 ," 41,988.49 ",, 387.65 , 388.50 , 5.46 , 403.00 , 404.50 , 136.00 , 136.00 , 0.7242 , 3.4900 , 4.7700 , 376.00 , 375.75 , 5.12 , 388.00 , 387.00 , 125.00 , 125.10 , 0.7078 , 3.1200 , 4.7300 , 381.66 , 381.91 , 5.25 , 393.68 , 394.04 , 131.74 , 131.82 , 0.7159 ,3.245,4.744," 8,037.80 "," 2,180.10 ",,2.5,3.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 94, 392.65 , 5.83 , 412.25 ,, 393.15 , 5.85 , 413.50 ,,0.7197,0.7202, 76.55 , 76.64 , 107.48 , 107.70 , 553.61 , 8.20 , 588.17 ,, 554.71 , 8.23 , 590.38 ,," 42,008.56 ", 617.56 ," 43,730.60 ",," 42,148.40 ", 620.08 ," 43,940.01 ",, 375.05 , 5.17 , 386.00 ,, 375.55 , 5.19 , 387.00 ,, 0.6995 , 0.7000 , 72.30 , 72.40 , 102.28 , 102.49 , 521.63 , 7.19 , 541.38 ,, 522.69 , 7.22 , 543.15 ,," 38,528.88 ", 535.95 ," 40,093.76 ",," 38,659.23 ", 539.10 ," 40,278.57 ",, 384.15 , 5.44 , 400.23 ,, 384.66 , 5.46 , 401.27 ,, 0.7114 , 0.7119 , 74.80 , 74.90 , 105.07 , 105.29 , 539.64 , 7.65 , 562.23 ,, 540.74 , 7.68 , 564.11 ,," 40,364.31 ", 571.84 ," 42,052.63 ",," 40,502.69 ", 575.07 ," 42,251.12 ",, 391.80 , 391.30 , 5.75 , 415.25 , 418.00 , 135.50 , 135.25 , 0.7190 , 4.1800 , 4.8500 , 375.45 , 375.30 , 5.18 , 389.25 , 386.50 , 128.00 , 128.75 , 0.7013 , 3.0500 , 4.7400 , 384.00 , 384.13 , 5.43 , 400.29 , 400.28 , 133.07 , 133.00 , 0.7118 ,3.336,4.781," 7,614.50 "," 2,053.10 ",110.4,2.7,3.34,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 94, 391.25 , 5.76 , 417.50 ,, 392.25 , 5.78 , 418.50 ,,0.7252,0.7257, 76.02 , 76.12 , 105.36 , 105.58 , 554.99 , 8.15 , 593.47 ,, 556.09 , 8.18 , 595.32 ,," 40,563.60 ", 590.86 ," 42,932.82 ",," 40,701.09 ", 594.13 ," 43,186.20 ",, 370.80 , 5.09 , 384.50 ,, 371.30 , 5.11 , 385.50 ,, 0.7006 , 0.7011 , 72.00 , 72.10 , 100.63 , 100.84 , 515.64 , 7.08 , 536.71 ,, 516.63 , 7.11 , 538.48 ,," 37,858.55 ", 525.54 ," 39,444.41 ",," 37,987.87 ", 528.63 ," 39,627.63 ",, 378.63 , 5.33 , 397.71 ,, 379.13 , 5.35 , 398.86 ,, 0.7161 , 0.7166 , 73.92 , 74.03 , 103.16 , 103.38 , 528.45 , 7.44 , 555.10 ,, 529.53 , 7.47 , 557.10 ,," 39,059.25 ", 549.53 ," 41,028.29 ",," 39,196.91 ", 552.79 ," 41,236.97 ",, 387.40 , 385.45 , 5.65 , 412.65 , 408.00 , 135.60 , 136.75 , 0.7236 , 3.7800 , 4.8100 , 370.25 , 369.65 , 5.09 , 385.75 , 385.50 , 132.00 , 131.25 , 0.7021 , 3.1500 , 4.7100 , 377.91 , 377.27 , 5.31 , 396.84 , 395.88 , 133.66 , 133.53 , 0.7159 ,3.555,4.767," 7,671.90 "," 2,066.10 ",,2.4,3.56,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 94, 388.75 , 5.77 , 406.00 ,, 389.25 , 5.79 , 407.00 ,,0.7361,0.7366, 76.82 , 76.92 , 105.04 , 105.28 , 534.89 , 7.85 , 567.00 ,, 535.96 , 7.88 , 568.83 ,," 40,519.41 ", 601.41 ," 42,475.72 ",," 40,653.27 ", 604.71 ," 42,661.74 ",, 373.40 , 5.10 , 389.00 ,, 373.90 , 5.12 , 390.50 ,, 0.7032 , 0.7037 , 70.96 , 71.06 , 100.60 , 100.81 , 520.49 , 7.11 , 538.03 ,, 521.55 , 7.14 , 539.76 ,," 37,740.09 ", 524.08 ," 40,026.46 ",," 37,869.28 ", 527.21 ," 40,261.90 ",, 381.65 , 5.44 , 397.84 ,, 382.15 , 5.46 , 399.06 ,, 0.7240 , 0.7245 , 75.00 , 75.10 , 103.52 , 103.73 , 526.83 , 7.51 , 549.21 ,, 527.88 , 7.54 , 551.26 ,," 39,509.57 ", 563.09 ," 41,184.05 ",," 39,643.14 ", 566.36 ," 41,394.66 ",, 388.10 , 388.00 , 5.73 , 407.00 , 407.50 , 139.75 , 139.90 , 0.7357 , 4.6000 , 4.8000 , 372.80 , 373.40 , 5.07 , 387.75 , 389.50 , 133.75 , 134.00 , 0.7033 , 3.4200 , 4.6900 , 381.34 , 381.41 , 5.42 , 398.32 , 398.26 , 136.19 , 136.02 , 0.7241 ,4.011,4.734," 7,760.10 "," 2,081.80 ",,2.3,4.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 94, 393.70 , 5.60 , 410.75 ,, 394.20 , 5.62 , 411.75 ,,0.7454,0.7459, 77.35 , 77.45 , 105.16 , 105.37 , 541.11 , 7.60 , 558.33 ,, 542.18 , 7.63 , 560.81 ,," 40,446.32 ", 578.33 ," 41,882.48 ",," 40,579.93 ", 581.58 ," 42,100.08 ",, 380.10 , 5.24 , 394.75 ,, 380.60 , 5.26 , 395.75 ,, 0.7195 , 0.7200 , 71.79 , 71.89 , 98.48 , 98.68 , 515.58 , 7.14 , 537.73 ,, 516.61 , 7.17 , 539.46 ,," 37,840.94 ", 517.02 ," 39,342.76 ",," 37,967.13 ", 520.04 ," 39,521.34 ",, 385.95 , 5.39 , 401.23 ,, 386.45 , 5.41 , 402.42 ,, 0.7330 , 0.7335 , 75.27 , 75.37 , 102.60 , 102.82 , 526.17 , 7.35 , 547.00 ,, 527.26 , 7.38 , 549.05 ,," 39,594.72 ", 553.24 ," 41,163.76 ",," 39,729.65 ", 556.42 ," 41,373.31 ",, 393.10 , 392.45 , 5.61 , 408.75 , 408.50 , 140.00 , 141.25 , 0.7457 , 5.9600 , 4.8400 , 380.25 , 378.40 , 5.25 , 395.25 , 395.25 , 134.00 , 133.85 , 0.7222 , 4.0000 , 4.7200 , 385.71 , 385.64 , 5.39 , 401.38 , 401.26 , 137.20 , 137.20 , 0.7334 ,4.246,4.761," 7,447.60 "," 1,989.10 ",111.2,2.5,4.25,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 94, 387.50 , 5.42 , 426.00 ,, 388.00 , 5.44 , 427.00 ,,0.7440,0.7445, 73.67 , 73.77 , 99.74 , 99.95 , 533.00 , 7.40 , 576.45 ,, 534.06 , 7.44 , 578.20 ,," 38,390.62 ", 534.40 ," 42,119.03 ",," 38,517.58 ", 537.52 ," 42,303.42 ",, 383.20 , 5.13 , 399.00 ,, 383.70 , 5.16 , 400.00 ,, 0.7237 , 0.7242 , 71.37 , 71.47 , 97.23 , 97.43 , 516.86 , 6.98 , 544.12 ,, 517.88 , 7.02 , 545.85 ,," 37,449.01 ", 503.66 ," 38,886.54 ",," 37,578.53 ", 507.64 ," 39,068.00 ",, 385.44 , 5.29 , 411.08 ,, 385.94 , 5.31 , 412.18 ,, 0.7346 , 0.7351 , 72.29 , 72.39 , 98.35 , 98.55 , 524.40 , 7.19 , 559.25 ,, 525.43 , 7.23 , 561.12 ,," 37,907.42 ", 519.86 ," 40,431.47 ",," 38,034.89 ", 522.87 ," 40,622.58 ",, 387.80 , 388.55 , 5.41 , 423.00 , 427.50 , 152.25 , 152.20 , 0.7443 , 5.0200 , 4.8100 , 383.40 , 383.00 , 5.16 , 402.50 , 401.00 , 142.75 , 142.85 , 0.7240 , 3.8200 , 4.7000 , 385.45 , 385.49 , 5.28 , 411.17 , 411.94 , 145.99 , 146.15 , 0.7348 ,4.256,4.744," 7,724.50 "," 2,061.50 ",,2.7,4.26,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 94, 386.40 , 5.40 , 423.25 ,, 386.90 , 5.42 , 424.50 ,,0.7490,0.7495, 75.42 , 75.51 , 101.34 , 101.54 , 521.03 , 7.25 , 573.87 ,, 522.06 , 7.29 , 575.91 ,," 38,633.86 ", 539.73 ," 41,986.40 ",," 38,765.10 ", 542.81 ," 42,195.30 ",, 376.60 , 5.06 , 405.00 ,, 377.00 , 5.08 , 406.00 ,, 0.7285 , 0.7290 , 71.71 , 71.81 , 97.28 , 97.48 , 503.14 , 6.80 , 545.45 ,, 504.14 , 6.83 , 547.17 ,," 37,112.32 ", 505.95 ," 39,982.08 ",," 37,237.36 ", 508.97 ," 40,186.13 ",, 380.29 , 5.19 , 411.94 ,, 380.78 , 5.21 , 412.97 ,, 0.7401 , 0.7406 , 73.76 , 73.86 , 99.60 , 99.80 , 513.51 , 7.01 , 556.25 ,, 514.53 , 7.04 , 558.03 ,," 37,875.08 ", 516.91 ," 41,027.17 ",," 38,001.17 ", 519.91 ," 41,213.69 ",, 386.25 , 386.60 , 5.38 , 423.00 , 424.25 , 154.75 , 154.35 , 0.7465 , 4.7800 , 5.5800 , 376.45 , 376.30 , 5.05 , 406.25 , 404.25 , 149.75 , 149.25 , 0.7289 , 4.1900 , 4.7600 , 380.21 , 380.35 , 5.19 , 412.30 , 412.14 , 152.17 , 152.12 , 0.7399 ,4.475,5.133," 7,959.00 "," 2,122.10 ",,2.9,4.47,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 94, 397.60 , 5.74 , 421.25 ,, 398.10 , 5.75 , 422.50 ,,0.7455,0.7460, 74.44 , 74.54 , 100.32 , 100.53 , 537.11 , 7.77 , 570.41 ,, 538.12 , 7.79 , 572.49 ,," 39,195.02 ", 561.26 ," 41,783.28 ",," 39,327.34 ", 563.39 ," 41,971.28 ",, 386.00 , 5.37 , 409.50 ,, 386.50 , 5.39 , 410.50 ,, 0.7352 , 0.7357 , 72.09 , 72.19 , 97.25 , 97.48 , 519.45 , 7.22 , 550.77 ,, 520.47 , 7.25 , 552.49 ,," 38,295.36 ", 532.60 ," 40,586.25 ",," 38,422.33 ", 535.66 ," 40,767.40 ",, 391.02 , 5.52 , 416.57 ,, 391.52 , 5.54 , 417.63 ,, 0.7415 , 0.7420 , 73.39 , 73.49 , 98.91 , 99.11 , 527.00 , 7.43 , 561.42 ,, 528.04 , 7.47 , 563.25 ,," 38,671.15 ", 545.31 ," 41,198.61 ",," 38,800.56 ", 548.41 ," 41,389.36 ",, 397.50 , 396.25 , 5.71 , 421.15 , 421.50 , 156.25 , 156.25 , 0.7460 , 5.4400 , 5.6000 , 386.00 , 386.00 , 5.39 , 409.50 , 409.25 , 148.25 , 148.50 , 0.7353 , 4.2900 , 5.4600 , 391.35 , 391.58 , 5.52 , 417.19 , 417.30 , 152.99 , 152.93 , 0.7416 ,4.734,5.499," 7,650.30 "," 2,028.70 ",111.9,3.0,4.73,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 94, 395.30 , 5.64 , 425.00 ,, 395.80 , 5.66 , 426.00 ,,0.7434,0.7439, 74.19 , 74.29 , 100.50 , 100.70 , 534.59 , 7.64 , 580.05 ,, 535.63 , 7.67 , 581.81 ,," 39,379.43 ", 563.58 ," 42,059.25 ",," 39,508.37 ", 566.72 ," 42,243.65 ",, 386.65 , 5.29 , 412.00 ,, 387.15 , 5.31 , 413.00 ,, 0.7311 , 0.7316 , 70.98 , 71.08 , 96.42 , 96.62 , 520.53 , 7.17 , 559.78 ,, 521.55 , 7.20 , 561.52 ,," 37,492.92 ", 512.30 ," 40,667.93 ",," 37,619.00 ", 515.30 ," 40,840.91 ",, 390.08 , 5.45 , 418.95 ,, 390.58 , 5.47 , 419.97 ,, 0.7376 , 0.7381 , 72.64 , 72.74 , 98.41 , 98.62 , 528.48 , 7.38 , 567.59 ,, 529.53 , 7.41 , 569.38 ,," 38,388.78 ", 536.22 ," 41,226.38 ",," 38,517.55 ", 539.21 ," 41,413.05 ",, 394.10 , 393.70 , 5.66 , 425.25 , 425.50 , 160.10 , 159.75 , 0.7428 , 5.4400 , 6.5300 , 387.10 , 383.85 , 5.31 , 414.25 , 413.75 , 151.75 , 150.25 , 0.7329 , 4.5600 , 5.4600 , 390.16 , 389.77 , 5.46 , 419.27 , 419.40 , 154.63 , 154.58 , 0.7383 ,4.760,5.767," 7,749.00 "," 2,044.80 ",,2.6,4.76,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 94, 386.35 , 5.32 , 417.50 , 157.75 , 386.85 , 5.34 , 418.75 , 158.75 ,0.7672,0.7677, 75.48 , 75.58 , 98.83 , 99.03 , 519.11 , 7.16 , 563.36 , 209.72 , 520.14 , 7.19 , 565.09 , 211.19 ," 38,135.54 ", 518.81 ," 41,067.52 "," 15,500.52 "," 38,262.26 ", 521.82 ," 41,249.64 "," 15,630.53 ", 381.75 , 5.06 , 406.00 , 153.00 , 382.25 , 5.08 , 407.00 , 154.00 , 0.7397 , 0.7402 , 71.43 , 71.52 , 96.46 , 96.65 , 498.70 , 6.59 , 533.41 , 200.26 , 499.74 , 6.62 , 535.06 , 201.70 ," 37,003.78 ", 497.50 ," 39,637.78 "," 15,049.05 "," 37,151.84 ", 500.43 ," 39,812.74 "," 15,177.88 ", 384.22 , 5.19 , 412.34 , 154.53 , 384.71 , 5.21 , 413.44 , 155.59 , 0.7539 , 0.7544 , 73.79 , 73.89 , 97.81 , 98.01 , 509.34 , 6.88 , 546.64 , 203.38 , 510.36 , 6.91 , 548.50 , 204.92 ," 37,579.34 ", 507.45 ," 40,329.11 "," 15,183.95 "," 37,704.88 ", 510.44 ," 40,519.82 "," 15,318.93 ", 386.45 , 386.75 , 5.32 , 418.00 , 418.25 , 161.00 , 161.25 , 0.7644 , 6.0300 , 6.5300 , 383.10 , 382.70 , 5.08 , 408.90 , 407.75 , 153.75 , 153.75 , 0.7404 , 4.5100 , 6.4800 , 384.38 , 384.39 , 5.19 , 412.56 , 412.47 , 156.51 , 156.44 , 0.7539 ,5.295,6.504," 7,189.10 "," 1,890.70 ",,2.6,5.29,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 94, 383.15 , 4.92 , 418.00 , 157.00 , 383.65 , 4.94 , 419.00 , 158.00 ,0.7777,0.7782, 77.89 , 77.99 , 100.54 , 100.74 , 495.96 , 6.40 , 538.38 , 202.45 , 496.94 , 6.43 , 540.02 , 203.87 ," 38,298.79 ", 488.21 ," 41,783.42 "," 15,685.87 "," 38,421.56 ", 491.13 ," 42,038.27 "," 15,815.80 ", 375.65 , 4.63 , 400.00 , 152.00 , 376.15 , 4.65 , 401.00 , 153.00 , 0.7668 , 0.7673 , 75.81 , 75.91 , 98.67 , 98.87 , 486.16 , 6.02 , 518.27 , 196.04 , 487.11 , 6.05 , 520.17 , 197.45 ," 37,247.75 ", 463.44 ," 39,821.42 "," 15,096.51 "," 37,372.59 ", 466.37 ," 40,004.48 "," 15,227.52 ", 378.95 , 4.77 , 409.17 , 153.48 , 379.45 , 4.79 , 410.34 , 154.55 , 0.7734 , 0.7739 , 77.36 , 77.46 , 99.96 , 100.16 , 489.66 , 6.16 , 528.69 , 198.32 , 490.62 , 6.19 , 530.55 , 199.83 ," 37,880.17 ", 476.70 ," 40,901.47 "," 15,342.17 "," 38,004.31 ", 479.55 ," 41,098.80 "," 15,479.25 ", 383.15 , 383.25 , 4.93 , 417.75 , 418.75 , 156.75 , 157.25 , 0.7777 , 6.5600 , 7.6000 , 376.10 , 375.75 , 4.64 , 401.00 , 400.25 , 152.25 , 152.00 , 0.7680 , 4.9400 , 6.4300 , 379.48 , 379.29 , 4.78 , 409.70 , 409.51 , 153.62 , 153.50 , 0.7736 ,5.453,7.076," 7,307.80 "," 1,912.70 ",112.8,2.6,5.45,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 95, 385.40 , 4.92 , 421.00 , 158.50 , 385.90 , 4.94 , 422.00 , 159.50 ,0.7762,0.7767, 77.86 , 77.96 , 101.42 , 101.62 , 501.71 , 6.42 , 550.89 , 207.56 , 502.69 , 6.46 , 552.56 , 209.76 ," 38,345.96 ", 490.15 ," 41,850.16 "," 15,801.98 "," 38,468.89 ", 493.08 ," 42,029.89 "," 15,990.63 ", 371.65 , 4.61 , 402.00 , 152.00 , 372.05 , 4.63 , 403.00 , 153.00 , 0.7569 , 0.7574 , 74.85 , 74.94 , 98.23 , 98.41 , 485.38 , 5.99 , 522.62 , 198.46 , 486.35 , 6.02 , 524.26 , 199.90 ," 37,062.66 ", 462.90 ," 40,495.32 "," 15,078.31 "," 37,183.51 ", 465.82 ," 40,741.74 "," 15,204.35 ", 378.57 , 4.77 , 413.44 , 155.78 , 379.06 , 4.79 , 414.56 , 156.89 , 0.7646 , 0.7651 , 76.34 , 76.44 , 99.77 , 99.97 , 494.80 , 6.24 , 540.40 , 203.62 , 495.79 , 6.27 , 542.24 , 205.21 ," 37,768.79 ", 475.87 ," 41,247.41 "," 15,542.20 "," 37,892.92 ", 478.79 ," 41,441.27 "," 15,683.87 ", 385.10 , 383.85 , 4.92 , 419.25 , 421.00 , 158.00 , 158.50 , 0.7759 , 6.5900 , 7.6000 , 372.45 , 372.40 , 4.62 , 403.25 , 403.25 , 153.50 , 153.25 , 0.7574 , 4.9400 , 7.4600 , 378.74 , 378.55 , 4.77 , 413.64 , 413.81 , 156.01 , 156.10 , 0.7659 ,5.527,7.499," 6,997.00 "," 1,830.60 ",,2.9,5.53,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
